"filename", "language", "YAML", "Properties", "Python", "Docker", "XML", "comment", "blank", "total"
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\models\software.py", "Python", 0, 0, 31, 0, 0, 0, 2, 33
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\models\standard.py", "Python", 0, 0, 30, 0, 0, 0, 2, 32
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\models\subcategory.py", "Python", 0, 0, 27, 0, 0, 0, 2, 29
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\assessment_service.py", "Python", 0, 0, 207, 0, 0, 8, 43, 258
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\classification_service.py", "Python", 0, 0, 143, 0, 0, 2, 29, 174
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\parameter_service.py", "Python", 0, 0, 151, 0, 0, 4, 31, 186
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\participant_service.py", "Python", 0, 0, 110, 0, 0, 0, 24, 134
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\result_service.py", "Python", 0, 0, 105, 0, 0, 0, 23, 128
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\software_service.py", "Python", 0, 0, 117, 0, 0, 0, 23, 140
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\standard_service.py", "Python", 0, 0, 119, 0, 0, 3, 27, 149
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\app\services\subcategory_service.py", "Python", 0, 0, 109, 0, 0, 0, 24, 133
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\quality_service\run.py", "Python", 0, 0, 4, 0, 0, 0, 2, 6
"Total", "-", 27, 5, 2294, 20, 94, 72, 501, 3013
